name	CIDRa_subdomain	DBLa_subdomain
IGHvar19	CIDRa1.1	DBLa2
IGHvar20	CIDRa3.1	DBLa0.4
IGHvar21	CIDRa2.1	DBLa0.12
IGHvar22		DBLa1.8
IGHvar23	CIDRa1.4	DBLa1.7
IGHvar24		DBLa1.8
IGHvar25	CIDRa2.2	DBLa0.9
IGHvar26	CIDRa1.7	DBLa1.1
IGHvar27	CIDRa1.4	DBLa1.7
IGHvar28	CIDRa6	DBLa0.4
IGHvar29	CIDRa2.6	DBLa0.5
IGHvar30	CIDRa1.5	DBLa1.2
IGHvar31	CIDRa3.2	DBLa0.1
IGHvar32	CIDRa1.4	DBLa1.2
IGHvar33	CIDRa2.5	DBLa0.5
IGHvar34	CIDRa5	DBLa0.18
IGHvar35	CIDRa2.9	DBLa0.11
IGHvar36	CIDRa3.1	DBLa0.22
IGHvar37	CIDRa5	DBLa0.8
IGHvar38	CIDRa3.3	DBLa0.13
IGHvar39	CIDRa1.7	DBLa1.1
IGHvar40	CIDRa3.4	DBLa0.16
IGHvar41		
IT4var01	CIDRa6	DBLa0.18
IT4var02		DBLa1.5
IT4var03		DBLa1.3
IT4var04		
IT4var05	CIDRa2.3	DBLa0.5
IT4var06	CIDRa1.1	DBLa2
IT4var07	CIDRa1.4	DBLa1.7
IT4var08		DBLa1.7
IT4var09		DBLa1.6
IT4var10		
IT4var11	CIDRa2.4	DBLa0.3
IT4var12	CIDRa6	DBLa0.18
IT4var13	CIDRa5	DBLa0.3
IT4var14	CIDRa5	DBLa0.23
IT4var15	CIDRa3.5	DBLa0.8
IT4var16	CIDRa5	DBLa0.4
IT4var17	CIDRa2.4	DBLa0.11
IT4var18	CIDRa1.6	DBLa1.2
IT4var19	CIDRa1.1	DBLa2
IT4var20	CIDRa1.1	DBLa2
IT4var21	CIDRa3.1	DBLa0.1
IT4var22	CIDRa1.7	DBLa1.4
IT4var23	CIDRa3.1	DBLa0.1
IT4var24	CIDRa2.2	DBLa0.10
IT4var25	CIDRa2.4	DBLa0.11
IT4var26	CIDRa3.3	DBLa0.23
IT4var27	CIDRa3.1	DBLa0.6
IT4var28	CIDRa3.1	DBLa0.4
IT4var29	CIDRa3.2	DBLa0.3
IT4var30	CIDRa2.10	DBLa0.13
IT4var31	CIDRa4	DBLa0.18
IT4var32a	CIDRa3.2	DBLa0.23
IT4var32b	CIDRa1.1	DBLa2
IT4var33	CIDRa2.4	DBLa0.11
IT4var34	CIDRa3.1	DBLa0.1
IT4var35	CIDRa1.2	DBLa1.1
IT4var36	CIDRa5	DBLa0.8
IT4var39	CIDRa2.5	DBLa0.5
IT4var40	CIDRa2.11	DBLa0.12
IT4var41	CIDRa5	DBLa0.4
IT4var44	CIDRa3.4	DBLa0.16
IT4var45	CIDRa2.9	DBLa0.5
IT4var46	CIDRa2.2	DBLa0.10
IT4var47	CIDRa3.3	DBLa0.1
IT4var51	CIDRa3.1	DBLa0.17
IT4var54	CIDRa3.1	DBLa0.1
IT4var58	CIDRa3.1	DBLa0.1
IT4var59	CIDRa3.1	DBLa0.1
IT4var60		DBLa1.8
IT4var61	CIDRa2.7	DBLa0.9
IT4var62	CIDRa3.1	DBLa0.1
IT4var63	CIDRa3.4	DBLa0.7
IT4var64		DBLa1.5
IT4var65		
IT4var66	CIDRa2.10	DBLa0.19
IT4var67	CIDRa2.2	DBLa0.10
IT4var68	CIDRa3.2	DBLa0.1
MAL6P1.1	CIDRa4	DBLa0.8
MAL6P1.252	CIDRa2.1	DBLa0.21
MAL6P1.316	CIDRa1.8	DBLa2
MAL6P1.4	CIDRa3.2	DBLa0.6
MAL7P1.212	CIDRa3.1	DBLa0.17
MAL7P1.50	CIDRa3.1	DBLa0.1
MAL7P1.55	CIDRa2.4	DBLa0.9
MAL7P1.56	CIDRa3.1	DBLa0.20
MAL8P1.207	CIDRa1.6	DBLa1.4
MAL8P1.220	CIDRa3.1	DBLa0.1
PF07_0048	CIDRa3.2	DBLa0.1
PF07_0049	CIDRa3.1	DBLa0.17
PF07_0050	CIDRa6	DBLa0.18
PF07_0051	CIDRa3.1	DBLa0.1
PF07_0139	CIDRa3.4	DBLa0.16
PF08_0103	CIDRa2.2	DBLa0.12
PF08_0106	CIDRa3.1	DBLa0.2
PF08_0107	CIDRa3.2	DBLa0.15
PF08_0140	CIDRa1.6	DBLa2
PF08_0141		DBLa1.6
PF08_0142	CIDRa2.11	DBLa0.9
PF10_0001	CIDRa3.1	DBLa0.20
PF10_0406	CIDRa2.7	DBLa0.9
PF11_0007	CIDRa3.2	DBLa0.15
PF11_0008		DBLa1.5
PF11_0521	CIDRa1.4	DBLa1.7
PF13_0001	CIDRa2.4	DBLa0.11
PF13_0003		DBLa1.6
PF13_0364	CIDRa3.4	DBLa0.16
PFA0005w	CIDRa2.8	DBLa0.11
PFA0015c		DBLa1.3
PFA0765c	CIDRa2.8	DBLa0.5
PFB0010w	CIDRa2.2	DBLa0.7
PFB1055c	CIDRa3.4	DBLa0.16
PFC0005w	CIDRa2.4	DBLa0.9
PFC1120c	CIDRa2.1	DBLa0.9
PFCLINvar04	CIDRa3.1	DBLa0.1
PFCLINvar05		DBLa1.5
PFCLINvar06	CIDRa6	DBLa0.18
PFCLINvar07	CIDRa3.3	DBLa0.20
PFCLINvar08	CIDRa3.2	DBLa0.15
PFCLINvar09	CIDRa3.1	DBLa0.3
PFCLINvar11	CIDRa4	DBLa0.14
PFCLINvar12		
PFCLINvar13		
PFCLINvar15	CIDRa2.2	DBLa0.8
PFCLINvar17		
PFCLINvar21		
PFCLINvar22	CIDRa3.2	DBLa0.1
PFCLINvar23	CIDRa3.2	DBLa0.20
PFCLINvar24	CIDRa3.1	DBLa0.17
PFCLINvar25	CIDRa2.9	DBLa0.13
PFCLINvar26	CIDRa3.4	DBLa0.16
PFCLINvar27	CIDRa2.8	DBLa0.10
PFCLINvar28	CIDRa2.6	DBLa0.21
PFCLINvar29	CIDRa2.4	DBLa0.9
PFCLINvar30	CIDRa1.1	DBLa2
PFCLINvar31	CIDRa1.8	DBLa2
PFCLINvar32	CIDRa1.4	DBLa1.2
PFCLINvar33		DBLa1.7
PFCLINvar34		DBLa1.3
PFCLINvar35		
PFCLINvar36	CIDRa3.2	DBLa0.3
PFCLINvar37	CIDRa3.1	DBLa0.17
PFCLINvar39	CIDRa3.2	DBLa0.1
PFCLINvar40	CIDRa2.7	DBLa0.9
PFCLINvar41	CIDRa3.1	DBLa0.17
PFCLINvar43	CIDRa3.2	DBLa0.15
PFCLINvar44	CIDRa2.5	DBLa0.5
PFCLINvar45	CIDRa2.1	DBLa0.12
PFCLINvar46	CIDRa3.1	DBLa0.1
PFCLINvar47	CIDRa3.1	DBLa0.17
PFCLINvar48	CIDRa1.7	DBLa1.4
PFCLINvar49	CIDRa1.4	DBLa1.1
PFCLINvar52	CIDRa4	DBLa0.18
PFCLINvar53	CIDRa3.1	DBLa0.6
PFCLINvar54	CIDRa3.2	DBLa0.15
PFCLINvar55	CIDRa2.6	DBLa0.5
PFCLINvar56	CIDRa3.1	DBLa0.1
PFCLINvar57		DBLa0.8
PFCLINvar58	CIDRa2.1	DBLa0.21
PFCLINvar59		
PFCLINvar60	CIDRa2.1	DBLa0.21
PFCLINvar61	CIDRa2.1	DBLa0.18
PFCLINvar62	CIDRa1.6	DBLa1.2
PFCLINvar63	CIDRa3.1	DBLa0.4
PFCLINvar64	CIDRa3.4	DBLa0.19
PFCLINvar65	CIDRa3.1	DBLa0.1
PFCLINvar66	CIDRa2.10	DBLa0.5
PFCLINvar67	CIDRa2.7	DBLa0.9
PFCLINvar68	CIDRa1.7	DBLa1.1
PFCLINvar69		DBLa1.6
PFCLINvar71	CIDRa3.2	DBLa0.3
PFCLINvar72		
PFCLINvar73	CIDRa1.7	DBLa1.4
PFCLINvar74	CIDRa5	DBLa0.3
PFCLINvar75		DBLa1.5
PFCLINvar76	CIDRa1.3	DBLa1.4
PFCLINvar77		
PFD0005w	CIDRa2.10	DBLa0.5
PFD0020c	CIDRa1.1	DBLa1.2
PFD0615c	CIDRa3.1	DBLa0.17
PFD0625c	CIDRa3.2	DBLa0.1
PFD0630c	CIDRa3.1	DBLa0.1
PFD0635c	CIDRa3.1	DBLa0.1
PFD0995c	CIDRa3.2	DBLa0.1
PFD1000c	CIDRa3.2	DBLa0.1
PFD1005c	CIDRa4	DBLa0.8
PFD1015c	CIDRa3.4	DBLa0.24
PFD1235w	CIDRa1.6	DBLa1.4
PFD1245c	CIDRa4	DBLa0.14
PFE0005w	CIDRa2.4	DBLa0.11
PFE1640w	CIDRa1.3	DBLa1.4
PFF0020c		DBLa1.3
PFI0005w	CIDRa3.4	DBLa0.16
PFI1820w		DBLa1.3
PFI1830c	CIDRa3.1	DBLa0.1
PFL0005w	CIDRa2.2	DBLa0.9
PFL0020w	CIDRa5	DBLa0.18
PFL0030c		
PFL0935c	CIDRa3.4	DBLa0.16
PFL1950w	CIDRa4	DBLa0.7
PFL1955w	CIDRa3.4	DBLa0.16
PFL1960w	CIDRa3.1	DBLa0.20
PFL2665c	CIDRa2.3	DBLa0.19
Pf_DD2_00168		
Pf_DD2_03196		
Pf_DD2_03801		
Pf_HB3_02495		
Pf_HB3_02500		
Pf_HB3_03083		
Pf_HB3_04988		
Pf_HB3_05132		
RAJ116var01	CIDRa2.5	DBLa0.13
RAJ116var02	CIDRa1.3	DBLa1.4
RAJ116var03	CIDRa1.5	DBLa1.2
RAJ116var04	CIDRa2.1	DBLa0.12
RAJ116var05		DBLa1.8
RAJ116var06	CIDRa2.7	DBLa0.9
RAJ116var07		DBLa1.5
RAJ116var08	CIDRa1.1	DBLa2
RAJ116var09	CIDRa2.9	DBLa0.5
RAJ116var10	CIDRa2.1	DBLa0.9
RAJ116var11	CIDRa1.8	DBLa2
RAJ116var12		
RAJ116var13	CIDRa3.3	DBLa0.1
RAJ116var14	CIDRa2.9	DBLa0.13
RAJ116var15	CIDRa2.3	DBLa0.9
RAJ116var16		DBLa1.6
RAJ116var17		DBLa1.6
RAJ116var18	CIDRa3.1	DBLa0.6
RAJ116var19		DBLa1.6
RAJ116var20		
RAJ116var21	CIDRa3.3	DBLa0.20
RAJ116var22	CIDRa2.11	DBLa0.12
RAJ116var23	CIDRa2.5	DBLa0.13
RAJ116var24	CIDRa2.3	DBLa0.9
RAJ116var25		
RAJ116var26	CIDRa2.5	DBLa0.15
RAJ116var27	CIDRa2.3	DBLa0.5
RAJ116var28	CIDRa3.2	DBLa0.15
RAJ116var29	CIDRa2.4	DBLa0.9
RAJ116var30	CIDRa2.6	DBLa0.13
RAJ116var31	CIDRa2.6	DBLa0.5
RAJ116var32	CIDRa3.1	DBLa0.3
RAJ116var33	CIDRa6	DBLa0.18
RAJ116var34	CIDRa3.2	DBLa0.15
RAJ116var35	CIDRa2.1	DBLa0.18
RAJ116var36	CIDRa2.9	DBLa0.13
RAJ116var37	CIDRa2.11	DBLa0.12
RAJ116var38		DBLa1.8
RAJ116var39	CIDRa2.8	DBLa0.10
